54
北京,852
上海,872
深圳,906
广州,893
杭州,1580
成都,1377
重庆,200
武汉,586
长沙,702
天津,1209
南京,1038
苏州,1087
宁波,1597
西安,3250
无锡,1052
太原,2984
郑州,2148
南昌,465
沈阳,1703
福州,356
大连,1725
桂林,2103
东莞,917
昆明,1229
长春,2812
中山,947
绍兴,1643
贵阳,242
济南,1835
佛山,923
哈尔滨,2648
合肥,2520
青岛,1847
温州,1612
厦门,372
惠州,956
香港,848
南宁,2024
澳门,850
常州,1077
石家庄,2495
呼和浩特,3167
珠海,913
江门,1015
台州,1680
洛阳,2279
西宁,2
金华,1653
海口,1185
乌鲁木齐,81
泉州,386
柳州,2037
银川,54
徐州,1063
